skin_disorder_name,images
acne affecting the back images,https://dermnetnz.org/assets/Uploads/acne/acne-back/141__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg
acne affecting the back images,https://dermnetnz.org/assets/Uploads/acne/acne-back/142__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg
acne affecting the back images,https://dermnetnz.org/assets/Uploads/acne/acne-back/143__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg
acne affecting the back images,https://dermnetnz.org/assets/Uploads/acne/acne-back/144__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg
acne affecting the back images,https://dermnetnz.org/assets/Uploads/acne/acne-back/146__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDEwXQ.jpg
acne affecting the back images,https://dermnetnz.org/assets/Uploads/acne/acne-back/148__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg
acne affecting the back images,https://dermnetnz.org/assets/Uploads/acne/acne-back/149__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg
acne affecting the back images,https://dermnetnz.org/assets/Uploads/acne/acne-back/150__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg
acne affecting the back images,https://dermnetnz.org/assets/Uploads/acne/acne-back/151__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg
acne affecting the back images,https://dermnetnz.org/assets/Uploads/acne/acne-back/152__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg
acne affecting the back images,https://dermnetnz.org/assets/Uploads/acne/acne-back/154__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg
acne affecting the back images,https://dermnetnz.org/assets/Uploads/acne/acne-back/157__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg
acne affecting the back images,https://dermnetnz.org/assets/Uploads/acne/acne-back/159__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg
acne affecting the back images,https://dermnetnz.org/assets/Uploads/acne/acne-back/160__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg
acne affecting the back images,https://dermnetnz.org/assets/Uploads/acne/acne-back/161__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg
acne affecting the back images,https://dermnetnz.org/assets/Uploads/acne/acne-back/165__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg
acne affecting the back images,https://dermnetnz.org/assets/Uploads/acne/acne-back/166__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg
acne affecting the back images,https://dermnetnz.org/assets/Uploads/acne/acne-back/167__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDg1XQ.jpg
acne affecting the back images,https://dermnetnz.org/assets/Uploads/acne/acne-back/169__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDg1XQ.jpg
acne affecting the back images,https://dermnetnz.org/assets/Uploads/acne/acne-back/171__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg
acne affecting the back images,https://dermnetnz.org/assets/Uploads/acne/acne-back/172__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg
