image_url,disease_name,images
https://dermnetnz.org/assets/Uploads/acne/acne-back/141__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,Acne affecting the back images,"<img src=""https://dermnetnz.org/assets/Uploads/acne/acne-back/141__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg"" width=""50"" >"
https://dermnetnz.org/assets/Uploads/acne/acne-back/142__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,Acne affecting the back images,"<img src=""https://dermnetnz.org/assets/Uploads/acne/acne-back/142__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg"" width=""50"" >"
https://dermnetnz.org/assets/Uploads/acne/acne-back/143__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,Acne affecting the back images,"<img src=""https://dermnetnz.org/assets/Uploads/acne/acne-back/143__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg"" width=""50"" >"
https://dermnetnz.org/assets/Uploads/acne/acne-back/144__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,Acne affecting the back images,"<img src=""https://dermnetnz.org/assets/Uploads/acne/acne-back/144__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg"" width=""50"" >"
https://dermnetnz.org/assets/Uploads/acne/acne-back/146__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDEwXQ.jpg,Acne affecting the back images,"<img src=""https://dermnetnz.org/assets/Uploads/acne/acne-back/146__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDEwXQ.jpg"" width=""50"" >"
https://dermnetnz.org/assets/Uploads/acne/acne-back/148__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,Acne affecting the back images,"<img src=""https://dermnetnz.org/assets/Uploads/acne/acne-back/148__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg"" width=""50"" >"
https://dermnetnz.org/assets/Uploads/acne/acne-back/149__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,Acne affecting the back images,"<img src=""https://dermnetnz.org/assets/Uploads/acne/acne-back/149__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg"" width=""50"" >"
https://dermnetnz.org/assets/Uploads/acne/acne-back/150__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,Acne affecting the back images,"<img src=""https://dermnetnz.org/assets/Uploads/acne/acne-back/150__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg"" width=""50"" >"
https://dermnetnz.org/assets/Uploads/acne/acne-back/151__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,Acne affecting the back images,"<img src=""https://dermnetnz.org/assets/Uploads/acne/acne-back/151__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg"" width=""50"" >"
https://dermnetnz.org/assets/Uploads/acne/acne-back/152__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,Acne affecting the back images,"<img src=""https://dermnetnz.org/assets/Uploads/acne/acne-back/152__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg"" width=""50"" >"
