skin_disorder_name,images
actinic keratosis,https://dermnetnz.org/assets/Uploads/lesions/ak-face/234__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDE5XQ.jpg
actinic keratosis,https://dermnetnz.org/assets/Uploads/lesions/ak-face/235__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDM2XQ.jpg
actinic keratosis,https://dermnetnz.org/assets/Uploads/lesions/ak-face/236__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg
actinic keratosis,https://dermnetnz.org/assets/Uploads/lesions/ak-face/250__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg
actinic keratosis,https://dermnetnz.org/assets/Uploads/lesions/ak-face/280__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg
actinic keratosis,https://dermnetnz.org/assets/Uploads/lesions/ak-face/292__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDg1XQ.jpg
actinic keratosis,https://dermnetnz.org/assets/Uploads/lesions/ak-face/300__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDg1XQ.jpg
actinic keratosis,https://dermnetnz.org/assets/Uploads/lesions/ak-face/314__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg
actinic keratosis,https://dermnetnz.org/assets/Uploads/lesions/ak-face/321__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDg1XQ.jpg
actinic keratosis,https://dermnetnz.org/assets/Uploads/lesions/ak-face/425__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg
actinic keratosis,https://dermnetnz.org/assets/Uploads/lesions/ak-face/431__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg
actinic keratosis,https://dermnetnz.org/assets/Uploads/lesions/ak-face/491__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg
actinic keratosis,https://dermnetnz.org/assets/Uploads/lesions/ak-face/232__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDM2XQ.jpg
